audience,example,person,final_summary,word_count,character_count,ground_truth,rouge,bleu,bleurt,ter
none,masked_template,1,"They focused on several main topics in this analysis session, exploring 100% of the documents. The topics that received the most attention were arms dealing, money laundering, and fraud. They started searching for documents related to arms dealing and highlighted Nigeria in February 2009. They read and analyzed documents related to illegal arms deals, Ministry Police, witness testimony, conviction, and war crimes. They also read and analyzed documents related to Leonid Minsky, an international gun smuggler, who was part of an international criminal organization involved in diamond smuggling, arms deals, money laundering, and prostitution. The user collected evidence of proposed and realized arms deals and the involvement of Minsky in these deals.The user then read documents related to a potential fraudulent scheme involving a contract payment owed to Dr. George Ngoki's company for engineering and construction services for waterways and byways in Nigeria. They also read an intercepted email discussing a coded account at the Central Bank of Nigeria containing $30,600,000.00, suggesting fraud, contract payment, Nigeria, business dealings, and money transfer.The user continued to analyze documents related to arms dealing, money laundering, and fraud. They read documents related to Tanya's jewels, Nairobi, Dubai, Nicolai, and Nahid. They also read a document about North Korea's sales of missiles, missile parts, and other arms to countries like Iran, Syria, and Myanmar, which violate a U.N. resolution.The user opened and analyzed several documents related to arms dealing, money laundering, and fraud. They read documents related to the delivery of textbooks in Dubai, a reunion celebration at the Burj Al Arab hotel in Dubai, and farming equipment going to Sana'a. They also read a surveillance report from the Israeli Defense Forces Military Intelligence Directorate, provided to the CIA, containing a telephone conversation between Muhammad Kasem and Abdullah Khouri, discussing a meeting in April where they plan to exchange cash for supplies.The user connected documents related to illegal arms smuggling, North Korea, and the Ilyushin aircraft. They added a note about Baltasar in Turkey, aka the professor. They also read an intercepted email from Mikhail Dombrovski to Dr. George discussing a transaction to take place at an upcoming meeting on April 15.They conducted 10 searches throughout their session, focusing on Nigeria, Iran, Kenya, Syria, Pakistan, Saudi Arabia, Lebanon, and Columbia.",375,2050,baseline,0.35276967930029157,0.29482761057546764,-0.42726072669029236,79.47368421052632
none,masked_template,1,"They focused on several main topics in this analysis session, exploring 100% of the documents. The topics that received the most attention were arms dealing, money laundering, and fraud. They started searching for documents related to arms dealing and highlighted Nigeria in February 2009. They read and analyzed documents related to illegal arms deals, Ministry Police, witness testimony, conviction, and war crimes. They also read and analyzed documents related to Leonid Minsky, an international gun smuggler, who was part of an international criminal organization involved in diamond smuggling, arms deals, money laundering, and prostitution. The user collected evidence of proposed and realized arms deals and the involvement of Minsky in these deals.The user then read documents related to a potential fraudulent scheme involving a contract payment owed to Dr. George Ngoki's company for engineering and construction services for waterways and byways in Nigeria. They also read an intercepted email discussing a coded account at the Central Bank of Nigeria containing $30,600,000.00, suggesting fraud, contract payment, Nigeria, business dealings, and money transfer.The user continued to analyze documents related to arms dealing, money laundering, and fraud. They read documents related to Tanya's jewels, Nairobi, Dubai, Nicolai, and Nahid. They also read a document about North Korea's sales of missiles, missile parts, and other arms to countries like Iran, Syria, and Myanmar, which violate a U.N. resolution.The user opened and analyzed several documents related to arms dealing, money laundering, and fraud. They read documents related to the delivery of textbooks in Dubai, a reunion celebration at the Burj Al Arab hotel in Dubai, and farming equipment going to Sana'a. They also read a surveillance report from the Israeli Defense Forces Military Intelligence Directorate, provided to the CIA, containing a telephone conversation between Muhammad Kasem and Abdullah Khouri, discussing a meeting in April where they plan to exchange cash for supplies.The user connected documents related to illegal arms smuggling, North Korea, and the Ilyushin aircraft. They added a note about Baltasar in Turkey, aka the professor. They also read an intercepted email from Mikhail Dombrovski to Dr. George discussing a transaction to take place at an upcoming meeting on April 15.They conducted 10 searches throughout their session, focusing on Nigeria, Iran, Kenya, Syria, Pakistan, Saudi Arabia, Lebanon, and Columbia.",375,2050,additional,0.26885245901639343,0.16422002683741865,-0.36888250708580017,82.89473684210526
self,none,1,"In this interaction, the user investigated various documents related to arms dealing, intercepted emails, and surveillance reports. The user searched for documents related to arms deals and Nigeria, and analyzed documents about Leonid Minsky, a prominent international gun smuggler. They found evidence of several proposed and realized arms deals. The user also analyzed intercepted emails related to a potential fraudulent scheme involving a contract payment owed to Dr. George Ngoki's company for engineering and construction services in Nigeria. The emails suggest that Ngoki was involved in a scheme to transfer $30,600,000.00 from a coded account at the Central Bank of Nigeria to a recipient's bank account by making it appear as an actual contract payment. The user also read documents related to arms dealing, including intercepted emails and reports. They found information about a conversation between a caller in Moscow and a receiver in Nairobi discussing the safe arrival of Tanya's jewels. Nicolai expects the receiver in Dubai on the 17th and the receiver confirms that they will meet with the caller and Nahid there. The user also read a document about North Korea's sales of missiles, missile parts, and other arms to countries like Iran, Syria, and Myanmar, which violate a U.N. resolution designed to punish North Korea for consistently violating UN-imposed sanctions over the past year.The user analyzed various documents related to arms dealing, intercepted emails, and surveillance reports. They read documents related to a meeting in Dubai on April 16th, where textbooks were to be delivered, and a reunion celebration at the Burj Al Arab hotel in Dubai on April 19th. The user also read a surveillance report from the Israeli Defense Forces Military Intelligence Directorate, provided to the CIA, which contained a telephone conversation between Muhammad Kasem and Abdullah Khouri, discussing a meeting in April where they plan to exchange cash for supplies. The user searched for evidence of sickness and found an intercepted email from Mikhail Dombrovski to Dr. George discussing a transaction to take place at an upcoming meeting on April 15. Dombrovski urges George not to let minor health issues become a distraction to their mutual business success and requests a call for more details. The user also searched for information related to Columbia and read documents about exchanging birthday presents. They added notes to some of the documents and continued to browse through various documents.",393,2066,manual,0.11588785046728972,0.0,-0.943561851978302,93.4010152284264
self,none,1,"In this interaction, the user investigated various documents related to arms dealing, intercepted emails, and surveillance reports. The user searched for documents related to arms deals and Nigeria, and analyzed documents about Leonid Minsky, a prominent international gun smuggler. They found evidence of several proposed and realized arms deals. The user also analyzed intercepted emails related to a potential fraudulent scheme involving a contract payment owed to Dr. George Ngoki's company for engineering and construction services in Nigeria. The emails suggest that Ngoki was involved in a scheme to transfer $30,600,000.00 from a coded account at the Central Bank of Nigeria to a recipient's bank account by making it appear as an actual contract payment. The user also read documents related to arms dealing, including intercepted emails and reports. They found information about a conversation between a caller in Moscow and a receiver in Nairobi discussing the safe arrival of Tanya's jewels. Nicolai expects the receiver in Dubai on the 17th and the receiver confirms that they will meet with the caller and Nahid there. The user also read a document about North Korea's sales of missiles, missile parts, and other arms to countries like Iran, Syria, and Myanmar, which violate a U.N. resolution designed to punish North Korea for consistently violating UN-imposed sanctions over the past year.The user analyzed various documents related to arms dealing, intercepted emails, and surveillance reports. They read documents related to a meeting in Dubai on April 16th, where textbooks were to be delivered, and a reunion celebration at the Burj Al Arab hotel in Dubai on April 19th. The user also read a surveillance report from the Israeli Defense Forces Military Intelligence Directorate, provided to the CIA, which contained a telephone conversation between Muhammad Kasem and Abdullah Khouri, discussing a meeting in April where they plan to exchange cash for supplies. The user searched for evidence of sickness and found an intercepted email from Mikhail Dombrovski to Dr. George discussing a transaction to take place at an upcoming meeting on April 15. Dombrovski urges George not to let minor health issues become a distraction to their mutual business success and requests a call for more details. The user also searched for information related to Columbia and read documents about exchanging birthday presents. They added notes to some of the documents and continued to browse through various documents.",393,2066,baseline,0.4165477888730385,0.31122144909690025,-0.16922642290592194,82.48730964467005
self,none,1,"In this interaction, the user investigated various documents related to arms dealing, intercepted emails, and surveillance reports. The user searched for documents related to arms deals and Nigeria, and analyzed documents about Leonid Minsky, a prominent international gun smuggler. They found evidence of several proposed and realized arms deals. The user also analyzed intercepted emails related to a potential fraudulent scheme involving a contract payment owed to Dr. George Ngoki's company for engineering and construction services in Nigeria. The emails suggest that Ngoki was involved in a scheme to transfer $30,600,000.00 from a coded account at the Central Bank of Nigeria to a recipient's bank account by making it appear as an actual contract payment. The user also read documents related to arms dealing, including intercepted emails and reports. They found information about a conversation between a caller in Moscow and a receiver in Nairobi discussing the safe arrival of Tanya's jewels. Nicolai expects the receiver in Dubai on the 17th and the receiver confirms that they will meet with the caller and Nahid there. The user also read a document about North Korea's sales of missiles, missile parts, and other arms to countries like Iran, Syria, and Myanmar, which violate a U.N. resolution designed to punish North Korea for consistently violating UN-imposed sanctions over the past year.The user analyzed various documents related to arms dealing, intercepted emails, and surveillance reports. They read documents related to a meeting in Dubai on April 16th, where textbooks were to be delivered, and a reunion celebration at the Burj Al Arab hotel in Dubai on April 19th. The user also read a surveillance report from the Israeli Defense Forces Military Intelligence Directorate, provided to the CIA, which contained a telephone conversation between Muhammad Kasem and Abdullah Khouri, discussing a meeting in April where they plan to exchange cash for supplies. The user searched for evidence of sickness and found an intercepted email from Mikhail Dombrovski to Dr. George discussing a transaction to take place at an upcoming meeting on April 15. Dombrovski urges George not to let minor health issues become a distraction to their mutual business success and requests a call for more details. The user also searched for information related to Columbia and read documents about exchanging birthday presents. They added notes to some of the documents and continued to browse through various documents.",393,2066,additional,0.3104,0.17141165141672135,-0.16688783466815948,82.48730964467005
self,manual_example,1,"This user conducted an investigation into arms deals, oil dealings, and diamond smuggling, focusing on the activities of Leonid Minsky and his connections to Yemen, Nigeria, Iran, Kenya, Lebanon, Syria, Pakistan, and North Korea. They analyzed intercepted emails, surveillance reports, and personal belongings found on arrested individuals. The investigation revealed potential fraudulent schemes involving bank transfers and contract payments in Nigeria, as well as evidence of proposed and realized arms deals. The user also read documents about North Korea's sales of missiles and other arms to countries like Iran, Syria, and Myanmar. They highlighted important information in various documents and added notes to keep track of characters of interest, such as Nicolai, Salih Ahmed, and Baltasar. The investigation also uncovered a US government telephone intercept discussing an arms exhibition in Dubai that did not exist. The user spent more time reading documents than searching for specific terms and searched for information about sickness and infection in the final segment. However, it is unclear if they made any clear conclusions from their analysis. Overall, the investigation was focused on uncovering the network of individuals and organizations involved in arms deals and other illicit activities in the intelligence domain.",197,1115,manual,0.23030303030303031,0.10528775875445062,-0.5054664015769958,84.77157360406092
self,manual_example,1,"This user conducted an investigation into arms deals, oil dealings, and diamond smuggling, focusing on the activities of Leonid Minsky and his connections to Yemen, Nigeria, Iran, Kenya, Lebanon, Syria, Pakistan, and North Korea. They analyzed intercepted emails, surveillance reports, and personal belongings found on arrested individuals. The investigation revealed potential fraudulent schemes involving bank transfers and contract payments in Nigeria, as well as evidence of proposed and realized arms deals. The user also read documents about North Korea's sales of missiles and other arms to countries like Iran, Syria, and Myanmar. They highlighted important information in various documents and added notes to keep track of characters of interest, such as Nicolai, Salih Ahmed, and Baltasar. The investigation also uncovered a US government telephone intercept discussing an arms exhibition in Dubai that did not exist. The user spent more time reading documents than searching for specific terms and searched for information about sickness and infection in the final segment. However, it is unclear if they made any clear conclusions from their analysis. Overall, the investigation was focused on uncovering the network of individuals and organizations involved in arms deals and other illicit activities in the intelligence domain.",197,1115,baseline,0.26612903225806456,0.1564796527918459,-0.18647967278957367,126.3959390862944
self,manual_example,1,"This user conducted an investigation into arms deals, oil dealings, and diamond smuggling, focusing on the activities of Leonid Minsky and his connections to Yemen, Nigeria, Iran, Kenya, Lebanon, Syria, Pakistan, and North Korea. They analyzed intercepted emails, surveillance reports, and personal belongings found on arrested individuals. The investigation revealed potential fraudulent schemes involving bank transfers and contract payments in Nigeria, as well as evidence of proposed and realized arms deals. The user also read documents about North Korea's sales of missiles and other arms to countries like Iran, Syria, and Myanmar. They highlighted important information in various documents and added notes to keep track of characters of interest, such as Nicolai, Salih Ahmed, and Baltasar. The investigation also uncovered a US government telephone intercept discussing an arms exhibition in Dubai that did not exist. The user spent more time reading documents than searching for specific terms and searched for information about sickness and infection in the final segment. However, it is unclear if they made any clear conclusions from their analysis. Overall, the investigation was focused on uncovering the network of individuals and organizations involved in arms deals and other illicit activities in the intelligence domain.",197,1115,additional,0.23809523809523814,0.13172815397552692,-0.1929849237203598,94.9238578680203
self,masked_manual_example,1,"This user focused on investigating events related to arms dealing, fraudulent schemes, and illegal weapons smuggling. They searched for information related to various countries, including Nigeria, Yemen, Iran, Kenya, Syria, Lebanon, Pakistan, Saudi Arabia, Venezuela, and Thailand. The user analyzed intercepted emails, surveillance reports, and US government telephone intercepts related to potential fraudulent schemes, coded accounts, and arms exhibitions. They also read documents related to the deaths of several individuals and personal belongings found on arrested individuals. The user highlighted important information and added notes to some of the documents. Throughout the interaction, the user uncovered evidence of a potential fraudulent scheme involving a contract payment owed to Dr. George Ngoki's company in Nigeria, as well as evidence of arms deals and shipments to Yemen, Saudi Arabia, Iran, and Syria. They also found evidence of illegal weapons smuggling from North Korea and a potential arms exhibition in Dubai. The user identified several individuals of interest, including Leonid Minsky, Saleh Ahmed, Nicolai, Thabiti Otieno, Nahid Owiti, Muhammad Kasem, Abdullah Khouri, Borodinski, and Boonmee Khemkhaeng. Overall, the user used a breadth-based approach to reading more than half of the available documents and spent more time analyzing intercepted emails and surveillance reports. They highlighted important information and added notes to some of the documents, but it is unclear whether they made any clear conclusions from their analysis.",224,1302,manual,0.223463687150838,0.10266979736692898,-0.6635753512382507,86.60714285714286
self,masked_manual_example,1,"This user focused on investigating events related to arms dealing, fraudulent schemes, and illegal weapons smuggling. They searched for information related to various countries, including Nigeria, Yemen, Iran, Kenya, Syria, Lebanon, Pakistan, Saudi Arabia, Venezuela, and Thailand. The user analyzed intercepted emails, surveillance reports, and US government telephone intercepts related to potential fraudulent schemes, coded accounts, and arms exhibitions. They also read documents related to the deaths of several individuals and personal belongings found on arrested individuals. The user highlighted important information and added notes to some of the documents. Throughout the interaction, the user uncovered evidence of a potential fraudulent scheme involving a contract payment owed to Dr. George Ngoki's company in Nigeria, as well as evidence of arms deals and shipments to Yemen, Saudi Arabia, Iran, and Syria. They also found evidence of illegal weapons smuggling from North Korea and a potential arms exhibition in Dubai. The user identified several individuals of interest, including Leonid Minsky, Saleh Ahmed, Nicolai, Thabiti Otieno, Nahid Owiti, Muhammad Kasem, Abdullah Khouri, Borodinski, and Boonmee Khemkhaeng. Overall, the user used a breadth-based approach to reading more than half of the available documents and spent more time analyzing intercepted emails and surveillance reports. They highlighted important information and added notes to some of the documents, but it is unclear whether they made any clear conclusions from their analysis.",224,1302,baseline,0.24045801526717558,0.19638279927298932,-0.17593763768672943,106.69642857142858
